Datetime,total_feed(TPH),reject(TPH),sep_drive_speed(RPM),bucket_elevator(AMP),mill_sound(%),cement_category
07-04-2023 14:00,99.00610638,48.66422653,686.9414673,61.39194489,82.61294556,0
07-04-2023 15:00,114.5785141,11.90720463,753.7521973,57.63125992,77.6312561,0
07-04-2023 16:00,114.3970728,6.018315315,721.4129639,58.36386108,71.03784943,0
07-04-2023 17:00,120.1221066,13.97802258,703.644104,59.78022385,79.41391754,0
07-04-2023 18:00,108.4561682,13.97802258,674.1478882,56.70330048,77.6556778,0
07-04-2023 19:00,117.0334568,16.04883957,674.1478882,55.82417679,78.9987793,0
07-04-2023 20:00,117.7765598,2.912087917,652.8253784,56.21489716,66.42247009,0
07-04-2023 21:00,116.0188093,1.035409093,652.8253784,55.92185974,74.67643738,0
07-04-2023 22:00,118.6051283,10.80708218,652.8253784,56.89865875,69.91453552,0
07-04-2023 23:00,123.677413,14.88400459,652.8253784,59.82906342,65.22589111,0
08-04-2023 00:00,109.8359028,25.94993973,652.8253784,59.78022385,63.83394623,1
08-04-2023 01:00,113.1582426,40.83394623,652.8253784,62.51526642,66.69108582,1
08-04-2023 02:00,114.910381,23.9438343,652.8253784,62.80830383,66.64225006,1
08-04-2023 03:00,114.9191719,41.93406677,652.8253784,63.1990242,73.1379776,1
08-04-2023 04:00,116.0043942,61.67155075,652.8253784,65.10379028,68.91330719,1
08-04-2023 05:00,115.6166064,41.93406677,608.4033813,68.27838898,61.66056442,1
08-04-2023 06:00,116.8715542,49.8290596,655.3129883,67.54579163,63.34554672,1
08-04-2023 07:00,116.419541,41.93406677,655.3129883,67.7411499,62.88156509,1
08-04-2023 08:00,115.9115988,14.0427351,608.0480347,63.68742752,60.63492203,1
08-04-2023 09:00,114.7824217,40.89865875,705.0656128,63.15018463,63.51648712,1
08-04-2023 10:00,107.4339482,75.7142868,760.8596802,66.27594757,74.79853821,1
08-04-2023 11:00,97.58779204,47.69353104,774.3639526,61.53846359,74.11477661,1
08-04-2023 12:00,98.85568297,69.76068878,774.3639526,65.64102936,79.12088013,1
08-04-2023 13:00,100.4332176,68.66056824,774.3639526,62.3687439,77.6312561,1
08-04-2023 14:00,99.04811156,34.88034439,774.3639526,66.52014923,79.60928345,1
08-04-2023 15:00,93.9365145,103.6703339,803.5047607,67.64347076,83.12576294,1
08-04-2023 16:00,91.32650244,41.7399292,803.5047607,69.15750885,83.58974457,1
08-04-2023 17:00,97.73211271,55.71794891,772.9424438,58.46154022,73.82173157,1
08-04-2023 18:00,99.85958558,23.81440926,772.9424438,59.53602219,71.59951019,1
08-04-2023 19:00,97.75677741,82.70330048,772.9424438,63.83394623,74.26129913,1
08-04-2023 20:00,97.52698499,75.7142868,772.9424438,64.42002869,80.87911987,1
08-04-2023 21:00,98.0586077,41.93406677,772.9424438,64.3711853,75.72649384,1
08-04-2023 22:00,97.12185919,47.82295609,764.4133911,68.66911316,80.6837616,1
08-04-2023 23:00,97.9345547,33.97436142,764.4133911,66.12942505,76.11721802,1
09-04-2023 00:00,124.0896254,65.74847412,703.644104,70.37850952,74.52991486,0
09-04-2023 01:00,130.5201492,33.97436142,703.644104,63.98046494,72.62515259,0
09-04-2023 02:00,129.7570238,34.88034439,733.8510742,62.80830383,69.86569214,0
09-04-2023 03:00,129.6520195,40.89865875,733.8510742,62.17338562,71.13553619,0
09-04-2023 04:00,130.8925514,34.88034439,733.8510742,64.90842438,76.82540131,0
09-04-2023 05:00,130.3118477,60.70085526,754.4628906,66.42247009,74.92063904,0
09-04-2023 06:00,134.4749756,36.75702286,754.4628906,72.03907013,76.53235626,0
09-04-2023 07:00,133.5194206,51.89987946,754.4628906,73.40659332,77.53357697,0
09-04-2023 08:00,98.41074753,86.65079498,774.3639526,71.94139099,79.21855927,0
09-04-2023 09:00,124.109889,36.88644791,782.8930054,66.47130585,76.41025543,0
09-04-2023 10:00,124.7768011,88.6568985,782.8930054,71.7948761,77.19169617,0
09-04-2023 11:00,125.8219833,67.68987274,772.2316895,73.01587677,81.0012207,0
09-04-2023 12:00,124.9555588,74.67887878,763.7026367,73.45543671,79.87789917,0
09-04-2023 13:00,128.239562,72.80220032,763.7026367,71.84371185,79.63369751,0
09-04-2023 14:00,129.6507988,39.86325073,750.9091797,70.91575623,77.04518127,0
09-04-2023 15:00,128.7936506,65.6837616,750.9091797,66.95970917,76.48352051,0
09-04-2023 16:00,125.8505545,64.7130661,750.9091797,68.13186646,76.36141968,0
09-04-2023 17:00,127.4163666,79.66178894,750.9091797,65.44567108,81.0012207,0
09-04-2023 18:00,129.4583645,38.8278389,750.9091797,67.98535156,78.92552185,0
